family	task	label	positive_count	negative_count	test_size	random_seed	model	Accuracy	Balanced Accuracy	ROC AUC	F1 Score	Precision	Recall	Time Taken
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	NearestCentroid	0.8152173913043478	0.6768292682926829	0.8243902439024391	0.8350513349128691	0.86385336743393	0.8152173913043478	0.08878779411315918
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	DecisionTreeClassifier	0.8913043478260869	0.6756097560975609	0.6756097560975609	0.8859204935684768	0.8819875776397516	0.8913043478260869	0.4705994129180908
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	LinearDiscriminantAnalysis	0.8913043478260869	0.6756097560975609	0.8682926829268293	0.8859204935684768	0.8819875776397516	0.8913043478260869	0.4306037425994873
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	SGDClassifier	0.8913043478260869	0.6756097560975609	0.924390243902439	0.8859204935684768	0.8819875776397516	0.8913043478260869	0.09289956092834473
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	LogisticRegression	0.8913043478260869	0.6756097560975609	0.9158536585365854	0.8859204935684768	0.8819875776397516	0.8913043478260869	0.16293859481811523
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	BernoulliNB	0.8260869565217391	0.6390243902439025	0.8207317073170732	0.8384057971014492	0.853798375537506	0.8260869565217391	0.06870889663696289
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	RandomForestClassifier	0.9021739130434783	0.6378048780487805	0.8390243902439025	0.8873166966812451	0.884807596201899	0.9021739130434783	0.7409183979034424
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	GaussianNB	0.8913043478260869	0.6317073170731707	0.8048780487804879	0.8790113871635611	0.8731041456016178	0.8913043478260869	0.10245108604431152
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	QuadraticDiscriminantAnalysis	0.41304347826086957	0.6268292682926829	0.6268292682926829	0.48874223602484473	0.8773726040205704	0.41304347826086957	0.14905190467834473
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	BaggingClassifier	0.9021739130434783	0.5939024390243902	0.7603658536585366	0.8778384087308572	0.8836508711936168	0.9021739130434783	1.592639446258545
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	ExtraTreesClassifier	0.9021739130434783	0.5939024390243902	0.8304878048780489	0.8778384087308572	0.8836508711936168	0.9021739130434783	0.38578033447265625
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	SVC	0.9021739130434783	0.5939024390243902	0.8731707317073172	0.8778384087308572	0.8836508711936168	0.9021739130434783	0.10086202621459961
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	XGBClassifier	0.8913043478260869	0.5878048780487805	0.8085365853658537	0.8699305809280233	0.8646245059288538	0.8913043478260869	1.1835947036743164
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	AdaBoostClassifier	0.8913043478260869	0.5878048780487805	0.8182926829268293	0.8699305809280233	0.8646245059288538	0.8913043478260869	3.3479878902435303
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	LGBMClassifier	0.8804347826086957	0.5817073170731707	0.8317073170731708	0.8622759626104108	0.8528235882058971	0.8804347826086957	2.674696445465088
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	CalibratedClassifierCV	0.8913043478260869	0.5439024390243903	0.8536585365853658	0.8576002696326256	0.8565217391304347	0.8913043478260869	3.3830604553222656
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	DummyClassifier	0.8913043478260869	0.5	0.5	0.8400799600199899	0.7944234404536862	0.8913043478260869	0.09720706939697266
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	LabelSpreading	0.8804347826086957	0.49390243902439024		0.8346318170394571	0.7933588150979454	0.8804347826086957	0.2629508972167969
BAHD	acceptor	acceptor_superclass::Fatty acyls	38	328	0.25	1	LabelPropagation	0.8804347826086957	0.49390243902439024		0.8346318170394571	0.7933588150979454	0.8804347826086957	0.21357989311218262
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	RidgeClassifierCV	0.9565217391304348	0.8453781512605042	0.9537815126050421	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.1307365894317627
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	LinearDiscriminantAnalysis	0.9565217391304348	0.8453781512605042	0.838655462184874	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.1875472068786621
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	RidgeClassifier	0.9565217391304348	0.8453781512605042	0.9453781512605041	0.9565217391304348	0.9565217391304348	0.9565217391304348	0.08165955543518066
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	KNeighborsClassifier	0.9565217391304348	0.7798319327731092	0.8369747899159664	0.9531513313110886	0.9529235382308845	0.9565217391304348	0.07090044021606445
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	DecisionTreeClassifier	0.9347826086956522	0.7680672268907562	0.8344537815126051	0.9347826086956522	0.9347826086956522	0.9347826086956522	0.5722630023956299
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	GaussianNB	0.9130434782608695	0.7563025210084033	0.8336134453781513	0.9179606625258799	0.9243350212443978	0.9130434782608695	0.06388235092163086
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	BernoulliNB	0.8913043478260869	0.7445378151260504	0.8571428571428572	0.9020720563413073	0.9173620260576782	0.8913043478260869	0.10662698745727539
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	ExtraTreeClassifier	0.8804347826086957	0.738655462184874	0.738655462184874	0.8943554538520213	0.9146286231884058	0.8804347826086957	0.0654292106628418
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	BaggingClassifier	0.9347826086956522	0.7025210084033613	0.8126050420168068	0.9297269969666331	0.9270864567716142	0.9347826086956522	2.6644444465637207
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	AdaBoostClassifier	0.9347826086956522	0.7025210084033613	0.8512605042016806	0.9297269969666331	0.9270864567716142	0.9347826086956522	3.449378728866577
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	SGDClassifier	0.9347826086956522	0.7025210084033613	0.8714285714285714	0.9297269969666331	0.9270864567716142	0.9347826086956522	0.1262376308441162
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	SVC	0.9347826086956522	0.7025210084033613	0.8949579831932772	0.9297269969666331	0.9270864567716142	0.9347826086956522	0.10247373580932617
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	LGBMClassifier	0.9347826086956522	0.7025210084033613	0.8630252100840335	0.9297269969666331	0.9270864567716142	0.9347826086956522	2.0078094005584717
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	LogisticRegression	0.9347826086956522	0.7025210084033613	0.8445378151260504	0.9297269969666331	0.9270864567716142	0.9347826086956522	0.1489417552947998
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	NearestCentroid	0.8804347826086957	0.6731092436974789	0.8663865546218487	0.8899107156530929	0.9016702014846234	0.8804347826086957	0.09310626983642578
BAHD	acceptor	acceptor_superclass::Pseudoalkaloids	28	338	0.25	1	LinearSVC	0.9347826086956522	0.6369747899159663	0.7974789915966386	0.9224887556221889	0.9227324539977203	0.9347826086956522	0.8936963081359863
